zoneId,productCode,jestaStyle,description,brand,genderTarget,department,sportsCategory,sizeRange,price,isBestSeller,isPromoted,isGlobalAccess,imageFile
AP_Column_1_Gondola_8_AP01,JS4938,45750,adidas Adizero EVO SL (CW/CB/CW),Adidas,Mens,Apparel,,9.5,180,TRUE,FALSE,FALSE,Supply_&_Demand_Junior's_Praiser_Pants_Black_-_Sky_Blue
AP_Column_1_Gondola_8_AP01,JS4939,45751,adidas Adizero EVO SL (CW/CB/CW),Adidas,Mens,Apparel,,9.5,180,TRUE,FALSE,FALSE,Supply_&_Demand_Junior's_Praiser_Pants_Black_-_Sky_Blue
AP_Column_2_Gondola_8_AP01,JS4940,45752,adidas Adizero EVO SL (CW/CB/CW),Adidas,Mens,Apparel,,9.5,180,,FALSE,FALSE,Supply_&_Demand_Junior's_Praiser_Pants_Black_-_Sky_Blue
AP_Column_2_Gondola_8_AP01,JS4941,45753,adidas Adizero EVO SL (CW/CB/CW),Adidas,Mens,Apparel,,9.5,180,,FALSE,FALSE,Supply_&_Demand_Junior's_Praiser_Pants_Black_-_Sky_Blue
AP_Column_3_Gondola_8_AP01,JS4942,45754,adidas Adizero EVO SL (CW/CB/CW),Adidas,Mens,Apparel,,9.5,180,,FALSE,FALSE,Supply_&_Demand_Junior's_Praiser_Pants_Black_-_Sky_Blue
AP_Column_3_Gondola_8_AP01,JS4943,45755,adidas Adizero EVO SL (CW/CB/CW),Adidas,Mens,Apparel,,9.5,180,,FALSE,FALSE,Supply_&_Demand_Junior's_Praiser_Pants_Black_-_Sky_Blue
AP_Column_4_Gondola_8_AP01,JS4944,45756,adidas Adizero EVO SL (CW/CB/CW),Adidas,Mens,Apparel,,9.5,180,,FALSE,FALSE,Supply_&_Demand_Junior's_Praiser_Pants_Black_-_Sky_Blue
AP_Column_4_Gondola_8_AP01,JS4945,45757,adidas Adizero EVO SL (CW/CB/CW),Adidas,Mens,Apparel,,9.5,180,,FALSE,FALSE,Supply_&_Demand_Junior's_Praiser_Pants_Black_-_Sky_Blue
Wall_A_AP_Column_1_AP01,JS4946,45758,Nike_Club_Barcelona_Pants_-_Light_British_Tan,Nike,Mens,Apparel,,9.5,180,,FALSE,FALSE,Nike_Club_Barcelona_Pants_-_Light_British_Tan
Wall_A_AP_Column_1_AP02,JS4964,45776,adidas Adizero EVO SL (CW/CB/CW),Adidas,Mens,Apparel,,9.5,180,,FALSE,FALSE,adidas_Originals_Infants’_Trefoil_Shorts_and_T-shirt_Set_White_-_True_Pink
Wall_A_AP_Column_2_AP01,JS4982,45794,adidas Adizero EVO SL (CW/CB/CW),Adidas,Mens,Apparel,,9.5,180,,FALSE,FALSE,adidas_Originals_Infants’_Trefoil_Shorts_and_T-shirt_Set_White_-_True_Pink
Wall_A_AP_Column_2_AP02,JS5000,45812,adidas Adizero EVO SL (CW/CB/CW),Adidas,Mens,Apparel,,9.5,180,,FALSE,FALSE,adidas_Originals_Infants’_Trefoil_Shorts_and_T-shirt_Set_White_-_True_Pink
Wall_A_AP_Column_3_AP01,JS5018,45830,adidas Adizero EVO SL (CW/CB/CW),Adidas,Mens,Apparel,,9.5,180,,FALSE,FALSE,adidas_Originals_Infants’_Trefoil_Shorts_and_T-shirt_Set_White_-_True_Pink
Wall_A_AP_Column_3_AP02,JS5036,45848,adidas Adizero EVO SL (CW/CB/CW),Jordan,Mens,Apparel,,9.5,180,,FALSE,FALSE,Jordan_Juniors'_Diamond_Shorts_-_Pine_Green
Wall_A_AP_Column_4_AP01,JS5054,45866,adidas Adizero EVO SL (CW/CB/CW),Jordan,Mens,Apparel,,9.5,180,,FALSE,FALSE,Jordan_Juniors'_Tee_-_Hemp
Wall_A_AP_Column_4_AP02,JS5072,45884,adidas Adizero EVO SL (CW/CB/CW),Sonneti,Mens,Apparel,,9.5,180,TRUE,FALSE,FALSE,Sonneti_Junior_Boys'_London_Fleece_Joggers_-_Princess_Blue
Wall_B_AP_Column_1_AP01,Rojo,,adidas_Originals_Junior_Boys’_SST_Track_Jacket_Vivid_Red_-_White,Adidas,Juniors,Apparel,,9.5,180,FALSE,TRUE,TRUE,adidas_Originals_Junior_Boys’_SST_Track_Jacket_Vivid_Red_-_White
Wall_B_AP_Column_2_AP02,Rojo,,adidas Adizero EVO SL (CW/CB/CW),Adidas,Juniors,Apparel,,9.5,180,FALSE,FALSE,FALSE,adidas_Originals_Junior_Boys’_SST_Track_Jacket_Vivid_Red_-_White
Wall_B_AP_Column_4_AP01,Rojo,,adidas Adizero EVO SL (CW/CB/CW),Adidas,Juniors,Apparel,,9.5,180,FALSE,TRUE,FALSE,adidas_Originals_Junior_Boys’_SST_Track_Jacket_Vivid_Red_-_White
Wall_B_AP_Column_4_AP02,Rojo,,adidas Adizero EVO SL (CW/CB/CW),Adidas,Juniors,Apparel,,9.5,180,FALSE,FALSE,FALSE,adidas_Originals_Junior_Boys’_SST_Track_Jacket_Vivid_Red_-_White
Wall_C_AP_Column_1_AP01,Azul,,adidas_Womens_'Classic_Backpack_-_Victory_Blue,Adidas,Unisex,Accessories,,One Size,70,TRUE,,,adidas_Womens_'Classic_Backpack_-_Victory_Blue
Wall_C_AP_Column_1_AP02,Azul,,adidas_Womens_'Classic_Backpack_-_Victory_Blue,Adidas,Unisex,Accessories,,One Size,70,TRUE,TRUE,,adidas_Womens_'Classic_Backpack_-_Victory_Blue
Wall_C_AP_Column_2_AP01,Azul,,adidas_Womens_'Classic_Backpack_-_Victory_Blue,Adidas,Unisex,Accessories,,One Size,70,TRUE,,,adidas_Womens_'Classic_Backpack_-_Victory_Blue
Wall_C_AP_Column_2_AP02,Azul,,adidas_Womens_'Classic_Backpack_-_Victory_Blue,Adidas,Unisex,Accessories,,One Size,70,,,,adidas_Womens_'Classic_Backpack_-_Victory_Blue
Wall_C_AP_Column_3_AP01,Azul,,adidas_Womens_'Classic_Backpack_-_Victory_Blue,Adidas,Unisex,Accessories,,One Size,70,TRUE,,,adidas_Womens_'Classic_Backpack_-_Victory_Blue
Wall_C_AP_Column_3_AP02,Azul,,adidas_Womens_'Classic_Backpack_-_Victory_Blue,Adidas,Unisex,Accessories,,One Size,70,,,,adidas_Womens_'Classic_Backpack_-_Victory_Blue
Wall_C_AP_Column_4_AP01,Cap,,Nike_Club_Kids'_Unstructured_Futura_Wash_Cap_White_-_Black,Nike,Unisex,Accessories,,One Size,70,,,,Nike_Club_Kids'_Unstructured_Futura_Wash_Cap_White_-_Black
Wall_C_AP_Column_4_AP02,Cap,,Nike_Club_Kids'_Unstructured_Futura_Wash_Cap_White_-_Black,Nike,Unisex,Accessories,,One Size,70,,,TRUE,Nike_Club_Kids'_Unstructured_Futura_Wash_Cap_White_-_Black
Wall_D_Column_1_FC01,Crocs,,Crocs_Children's_Classic_Clog_-_Blue_Bolt,Crocs,Unisex,Footwear,Sandals,,45,,,,Crocs_Children's_Classic_Clog_-_Blue_Bolt
